date,region,product,channel,units_sold,unit_price,discount_pct,customer_age,customer_gender,returned,revenue,cost,profit
2023-02-18,South,Phone,Direct,46,822.22,0.02,35,Male,0,37065.68,24067.83,12997.85
2023-01-21,Central,Phone,Wholesale,64,910.47,0.02,45,Other,0,57104.68,27353.31,29751.37
2022-07-11,North,Monitor,Online,95,920.69,0.22,35,Other,0,68223.13,46854.02,21369.11
2022-10-04,North,Laptop,Direct,28,594.51,0.04,48,Male,0,15980.43,6455.33,9525.1
2022-06-10,West,Webcam,Online,50,643.42,0.19,34,Female,0,26058.51,17695.65,8362.86
2023-04-05,South,Keyboard,Retail,64,1254.67,0.1,40,Female,0,72268.99,48376.95,23892.04
2022-11-10,East,Keyboard,Wholesale,28,724.82,0.14,28,Male,0,17453.67,7334.15,10119.52
2022-01-22,Central,Laptop,Online,86,1481.9,0.06,32,Female,0,119796.8,69656.33,50140.47
2022-09-10,South,Laptop,Retail,56,670.63,0.26,47,Male,0,27790.91,17663.16,10127.75
2023-07-15,Central,Tablet,Retail,59,981.38,0.18,69,Male,0,47479.16,24743.4,22735.76
2023-04-20,North,Keyboard,Retail,5,94.54,0.28,48,Male,0,340.34,145.51,194.83
2022-02-28,West,Monitor,Direct,54,986.94,0.17,23,Female,0,44234.65,28700.32,15534.33
2023-05-26,West,Headphones,Direct,44,1280.11,0.04,29,Other,1,54071.85,29196.07,24875.78
2023-11-13,East,Phone,Wholesale,42,1414.84,0.05,40,Male,0,56452.12,27039.16,29412.96
2023-04-21,West,Headphones,Wholesale,72,1496.03,0.3,56,Female,0,75399.91,31762.71,43637.2
2023-12-01,North,Tablet,Retail,92,437.62,0.22,57,Other,0,31403.61,18592.56,12811.05
2022-07-09,East,Keyboard,Wholesale,57,871.55,0.01,53,Male,0,49181.57,20296.77,28884.8
2023-11-18,South,Webcam,Direct,47,687.06,0.21,52,Other,0,25510.54,16258.59,9251.95
2023-07-17,West,Laptop,Wholesale,76,854.45,0.12,20,Female,0,57145.62,36071.78,21073.84
2023-07-21,East,Webcam,Online,25,253.03,0.09,59,Other,1,5756.43,2860.27,2896.16
2022-09-01,North,Webcam,Direct,44,1287.1,0.05,45,Other,0,53800.78,29143.14,24657.64
2023-05-20,Central,Keyboard,Retail,15,1366.16,0.25,32,Female,0,15369.3,9233.35,6135.95
2022-05-11,Central,Monitor,Retail,51,685.5,0.02,30,Male,0,34261.29,23562.76,10698.53
2023-04-30,North,Tablet,Wholesale,53,435.04,0.09,36,Female,1,20981.98,11666.93,9315.05
2023-10-09,North,Laptop,Direct,34,228.43,0.09,57,Female,0,7067.62,4940.29,2127.33
2022-01-21,Central,Headphones,Retail,77,1031.97,0.05,35,Male,0,75488.61,37557.98,37930.63
2022-06-16,East,Monitor,Retail,8,482.1,0.15,48,Male,0,3278.28,1829.11,1449.17
2022-10-01,Central,Headphones,Direct,77,1366.12,0.0,54,Female,0,105191.24,45725.02,59466.22
2023-01-23,North,Phone,Direct,70,1013.1,0.09,38,Male,0,64534.47,36586.65,27947.82
2023-08-24,West,Tablet,Retail,96,975.61,0.28,56,Male,0,67434.16,37823.42,29610.74
2022-11-12,South,Monitor,Wholesale,21,847.92,0.09,22,Female,1,16203.75,10607.69,5596.06
2022-01-14,West,Monitor,Wholesale,7,87.75,0.11,68,Female,0,546.68,382.11,164.57
2022-08-30,West,Headphones,Wholesale,90,1399.25,0.14,34,Female,0,108301.95,75362.28,32939.67
2022-12-12,North,Laptop,Online,79,949.35,0.17,36,Female,0,62248.88,29312.4,32936.48
2023-07-19,Central,Phone,Direct,56,1491.21,0.24,21,Other,0,63465.9,31830.29,31635.61
2022-12-06,East,Headphones,Retail,49,815.29,0.06,43,Other,0,37552.26,18115.1,19437.16
2022-04-02,West,Monitor,Online,42,1070.96,0.26,41,Male,0,33285.44,15308.1,17977.34
2023-01-02,Central,Tablet,Wholesale,23,103.19,0.23,56,Other,0,1827.49,813.31,1014.18
2023-03-31,East,Monitor,Online,52,954.97,0.22,55,Other,0,38733.58,21439.94,17293.64
2023-03-04,West,Keyboard,Retail,79,1151.68,0.03,63,Other,0,88253.24,58401.55,29851.69
2023-05-24,East,Tablet,Retail,53,1172.2,0.01,36,Male,0,61505.33,35486.13,26019.2
2022-02-04,Central,Tablet,Direct,16,1159.77,0.18,47,Other,0,15216.18,10070.05,5146.13
2022-07-25,South,Monitor,Wholesale,96,354.9,0.26,43,Female,0,25212.1,17342.1,7870.0
2022-03-22,Central,Laptop,Wholesale,37,1463.59,0.18,69,Female,0,44405.32,22866.18,21539.14
2023-07-16,North,Tablet,Online,18,1492.87,0.06,28,Male,1,25259.36,16436.27,8823.09
2023-01-23,East,Keyboard,Wholesale,20,131.88,0.03,56,Male,0,2558.47,1063.56,1494.91
2022-01-02,South,Headphones,Online,46,1405.94,0.21,20,Male,0,51091.86,27810.42,23281.44
2023-01-25,East,Laptop,Retail,2,448.38,0.22,69,Other,0,699.47,357.07,342.4
2023-07-20,East,Laptop,Retail,87,1040.14,0.05,39,Male,0,85967.57,39670.21,46297.36
2022-04-16,West,Laptop,Retail,94,520.4,0.01,34,Male,0,48428.42,25740.57,22687.85
2023-04-22,North,Tablet,Retail,63,1452.28,0.12,28,Male,0,80514.4,42923.09,37591.31
2023-12-04,East,Laptop,Retail,3,170.23,0.17,64,Female,0,423.87,272.36,151.51
2023-02-06,Central,Monitor,Online,46,756.67,0.21,56,Male,0,27497.39,18166.85,9330.54
2023-12-31,Central,Laptop,Retail,49,653.51,0.24,64,Female,0,24336.71,14531.09,9805.62
2023-07-10,West,Keyboard,Online,1,502.51,0.18,44,Female,0,412.06,243.12,168.94
2022-06-11,North,Phone,Retail,22,975.39,0.03,66,Male,0,20814.82,9013.96,11800.86
2022-07-21,North,Keyboard,Online,93,213.96,0.2,60,Male,0,15918.62,9114.66,6803.96
2022-09-27,Central,Tablet,Online,14,1080.66,0.3,46,Other,0,10590.47,5108.14,5482.33
2022-09-28,South,Laptop,Online,92,1471.28,0.27,29,Male,0,98811.16,48262.22,50548.94
2023-04-01,West,Laptop,Wholesale,85,1210.75,0.26,30,Male,0,76156.18,32627.77,43528.41
2023-04-07,West,Monitor,Online,45,1292.82,0.09,28,Male,0,52940.98,31275.44,21665.54
2023-12-28,Central,Headphones,Online,96,552.26,0.23,48,Male,0,40823.06,23479.08,17343.98
2022-09-09,Central,Laptop,Retail,6,500.83,0.26,28,Male,0,2223.69,1036.42,1187.27
2023-12-03,South,Webcam,Online,65,785.23,0.2,58,Male,0,40831.96,19554.88,21277.08
2022-10-23,South,Keyboard,Online,21,87.68,0.08,60,Other,0,1693.98,1070.43,623.55
2023-12-26,North,Tablet,Direct,4,1419.13,0.29,53,Other,0,4030.33,2570.87,1459.46
2023-12-21,West,Phone,Wholesale,3,232.8,0.14,19,Male,0,600.62,329.09,271.53
2022-12-04,West,Laptop,Direct,30,1356.46,0.04,40,Other,0,39066.05,17372.7,21693.35
2022-02-22,Central,Phone,Retail,31,143.7,0.03,53,Female,0,4321.06,1800.49,2520.57
2022-08-05,North,Laptop,Wholesale,34,1237.48,0.19,31,Other,1,34080.2,16407.59,17672.61
2022-07-07,West,Tablet,Wholesale,83,244.9,0.13,54,Female,0,17684.23,10952.83,6731.4
2023-01-15,North,Headphones,Direct,20,76.43,0.03,66,Male,0,1482.74,860.35,622.39
2023-05-08,North,Keyboard,Wholesale,87,1084.84,0.22,44,Female,0,73617.24,45306.41,28310.83
2022-02-10,Central,Tablet,Direct,54,434.79,0.24,29,Male,0,17843.78,9662.84,8180.94
2022-06-06,North,Phone,Online,25,1077.45,0.22,46,Other,0,21010.28,13161.09,7849.19
2022-01-15,South,Laptop,Direct,15,841.53,0.06,23,Female,0,11865.57,6457.74,5407.83
2022-03-06,South,Phone,Wholesale,38,181.03,0.21,61,Female,1,5434.52,2310.78,3123.74
2023-06-05,East,Keyboard,Wholesale,23,1399.55,0.0,64,Female,0,32189.65,13647.04,18542.61
2022-12-10,Central,Webcam,Retail,52,689.42,0.09,40,Male,0,32623.35,21187.26,11436.09
2022-05-09,East,Tablet,Retail,66,1106.98,0.12,68,Male,0,64293.4,37861.57,26431.83
2023-10-10,South,Phone,Retail,57,761.51,0.25,27,Other,0,32554.55,15747.88,16806.67
2023-04-17,East,Phone,Retail,57,914.45,0.12,51,Other,0,45868.81,28766.74,17102.07
2022-03-04,Central,Keyboard,Wholesale,79,468.1,0.0,61,Male,0,36979.9,16297.8,20682.1
2022-05-19,Central,Webcam,Retail,52,316.53,0.11,29,Other,0,14649.01,8695.26,5953.75
2023-05-14,North,Laptop,Direct,35,823.0,0.15,49,Female,0,24484.25,17061.75,7422.5
2023-08-16,West,Webcam,Online,74,671.52,0.28,43,Female,0,35778.59,15921.68,19856.91
2023-01-27,North,Phone,Wholesale,14,597.37,0.28,24,Female,0,6021.49,2665.01,3356.48
2023-11-06,Central,Keyboard,Retail,91,1015.4,0.05,49,Other,0,87781.33,47432.67,40348.66
2023-02-23,South,Laptop,Wholesale,14,1041.95,0.06,50,Female,0,13712.06,8128.49,5583.57
2022-10-16,South,Webcam,Retail,99,87.96,0.05,35,Female,0,8272.64,3374.94,4897.7
2023-01-14,North,Webcam,Wholesale,33,521.34,0.24,52,Male,0,13075.21,7190.07,5885.14
2023-05-05,Central,Webcam,Retail,52,629.41,0.0,37,Male,1,32729.32,13908.36,18820.96
2022-08-19,South,Headphones,Online,1,163.4,0.04,48,Other,1,156.86,74.1,82.76
2022-02-10,Central,Laptop,Retail,34,369.13,0.16,22,Male,0,10542.35,6470.04,4072.31
2022-01-28,South,Webcam,Direct,19,96.43,0.07,49,Other,0,1703.92,1059.26,644.66
2022-05-15,Central,Headphones,Wholesale,24,1494.44,0.03,69,Other,0,34790.56,21532.56,13258.0
2022-07-20,East,Tablet,Wholesale,4,1110.1,0.11,64,Male,0,3951.96,1658.02,2293.94
2022-02-02,Central,Keyboard,Direct,36,149.43,0.08,59,Male,1,4949.12,3147.78,1801.34
2022-02-17,Central,Webcam,Direct,77,49.97,0.15,36,Other,0,3270.54,1732.28,1538.26
2023-05-18,North,Laptop,Online,58,1084.55,0.29,18,Other,0,44661.77,24233.16,20428.61
2023-02-11,East,Headphones,Wholesale,32,670.0,0.04,24,Other,0,20582.4,10824.43,9757.97
2023-07-28,West,Headphones,Online,9,1184.46,0.11,39,Female,0,9487.52,6234.31,3253.21
2023-12-29,North,Tablet,Wholesale,80,1386.74,0.28,67,Female,0,79876.22,48244.53,31631.69
2022-04-09,West,Monitor,Wholesale,67,906.96,0.26,51,Male,0,44967.08,24732.24,20234.84
2023-11-15,South,Keyboard,Online,20,296.92,0.12,68,Female,0,5225.79,3398.26,1827.53
2023-12-27,West,Monitor,Wholesale,74,1177.65,0.21,27,Female,0,68845.42,44171.84,24673.58
2023-07-01,Central,Laptop,Wholesale,62,1434.6,0.03,64,Other,0,86276.84,34641.29,51635.55
2023-09-05,West,Keyboard,Online,58,878.74,0.21,59,Female,0,40263.87,21890.02,18373.85
2023-04-07,North,Tablet,Retail,22,1029.36,0.29,43,Male,0,16078.6,6635.22,9443.38
2023-10-05,North,Laptop,Online,67,519.46,0.16,49,Female,1,29235.21,14388.28,14846.93
2022-01-05,West,Keyboard,Wholesale,75,584.66,0.15,59,Female,0,37272.07,23897.03,13375.04
2022-08-06,North,Keyboard,Direct,89,1107.29,0.06,44,Female,0,92635.88,63290.29,29345.59
2023-05-18,North,Monitor,Retail,48,1393.1,0.19,29,Male,0,54163.73,25598.86,28564.87
2023-02-02,West,Laptop,Direct,8,950.9,0.18,57,Male,0,6237.9,2535.25,3702.65
2023-01-28,East,Tablet,Retail,73,1188.97,0.2,40,Other,0,69435.85,36155.31,33280.54
2022-07-26,East,Tablet,Direct,15,274.02,0.01,31,Female,0,4069.2,2036.78,2032.42
2022-01-15,South,Laptop,Retail,32,333.7,0.16,51,Other,0,8969.86,5409.63,3560.23
2023-07-08,North,Laptop,Online,53,807.41,0.18,34,Other,0,35090.04,19247.49,15842.55
2023-04-06,West,Headphones,Retail,67,281.3,0.06,23,Male,0,17716.27,9206.33,8509.94
2023-11-22,North,Phone,Retail,4,959.79,0.06,44,Other,0,3608.81,1692.05,1916.76
2023-07-29,Central,Monitor,Retail,30,451.65,0.08,25,Female,0,12465.54,8084.45,4381.09
2022-08-29,North,Laptop,Wholesale,13,1191.47,0.21,50,Other,0,12236.4,5806.38,6430.02
2023-07-18,North,Laptop,Direct,21,1216.0,0.18,52,Male,0,20939.52,8719.65,12219.87
2022-04-06,East,Phone,Online,41,706.41,0.25,64,Male,0,21722.11,12368.2,9353.91
2023-04-30,West,Phone,Direct,19,287.6,0.09,34,Male,1,4972.6,2462.45,2510.15
2023-02-11,North,Keyboard,Direct,48,977.23,0.27,43,Female,0,34242.14,21015.45,13226.69
2022-08-19,East,Webcam,Online,86,1489.32,0.22,24,Other,0,99903.59,42385.25,57518.34
2023-10-17,South,Tablet,Wholesale,63,941.43,0.12,63,Female,0,52192.88,36007.46,16185.42
2022-06-20,East,Monitor,Retail,20,72.95,0.03,41,Male,0,1415.23,645.43,769.8
2023-06-25,East,Keyboard,Wholesale,64,45.6,0.08,42,Female,0,2684.93,1361.57,1323.36
2022-02-05,East,Laptop,Wholesale,37,494.14,0.29,52,Male,0,12981.06,7065.42,5915.64
2023-06-09,North,Phone,Retail,31,309.76,0.09,43,Female,0,8738.33,5828.77,2909.56
2022-06-09,North,Headphones,Direct,74,1223.32,0.1,67,Female,0,81473.11,50249.54,31223.57
2023-11-30,South,Tablet,Retail,18,1270.31,0.06,22,Other,1,21493.65,9531.33,11962.32
2022-08-31,Central,Keyboard,Online,20,402.76,0.24,69,Other,0,6121.95,3254.33,2867.62
2022-03-27,Central,Headphones,Retail,82,501.95,0.08,64,Male,0,37867.11,21314.39,16552.72
2023-08-01,Central,Tablet,Direct,11,369.65,0.1,55,Other,0,3659.54,2234.65,1424.89
2023-11-13,South,Webcam,Wholesale,86,1364.41,0.12,52,Other,0,103258.55,59016.84,44241.71
2023-07-11,Central,Webcam,Wholesale,44,763.92,0.13,47,Female,0,29242.86,15709.28,13533.58
2023-07-28,Central,Headphones,Retail,82,991.08,0.12,67,Male,0,71516.33,45031.28,26485.05
2023-10-08,East,Phone,Online,64,634.91,0.15,42,Female,0,34539.1,17732.97,16806.13
2022-01-28,North,Keyboard,Direct,34,953.9,0.24,41,Female,0,24648.78,17159.29,7489.49
2023-09-12,North,Keyboard,Wholesale,87,591.07,0.25,47,Other,0,38567.32,26392.96,12174.36
2023-07-10,East,Webcam,Retail,65,522.72,0.24,37,Other,0,25822.37,15808.82,10013.55
2022-12-06,East,Tablet,Online,55,959.03,0.03,20,Male,0,51164.25,34013.15,17151.1
2022-11-27,East,Headphones,Online,74,894.77,0.24,49,Other,0,50321.86,26064.34,24257.52
2023-10-02,North,Phone,Wholesale,1,454.42,0.04,25,Female,0,436.24,250.59,185.65
2023-05-21,Central,Laptop,Wholesale,38,241.04,0.04,68,Other,1,8793.14,4236.5,4556.64
2022-12-14,East,Keyboard,Direct,9,565.49,0.28,67,Male,0,3664.38,2439.35,1225.03
2023-04-18,South,Laptop,Online,95,634.49,0.25,64,Male,0,45207.41,24471.11,20736.3
2022-08-19,East,Phone,Direct,71,950.45,0.17,40,Female,0,56010.02,31412.83,24597.19
2022-07-09,West,Webcam,Online,17,1373.5,0.26,63,Female,0,17278.63,11393.01,5885.62
2022-08-13,East,Keyboard,Online,99,73.55,0.3,33,Other,1,5097.01,3257.92,1839.09
2023-01-20,North,Keyboard,Retail,52,380.62,0.18,52,Male,0,16229.64,8058.39,8171.25
2023-01-12,East,Headphones,Wholesale,18,306.7,0.18,42,Female,0,4526.89,1929.49,2597.4
2022-10-10,West,Laptop,Online,63,763.4,0.23,32,Other,0,37032.53,16613.83,20418.7
2023-09-25,South,Webcam,Direct,33,655.96,0.07,68,Other,0,20131.41,10100.51,10030.9
2023-09-20,Central,Headphones,Wholesale,4,1098.98,0.05,25,Other,0,4176.12,2052.93,2123.19
2022-09-16,East,Monitor,Direct,87,378.78,0.23,51,Female,0,25374.47,10441.42,14933.05
2022-12-25,West,Laptop,Wholesale,75,899.86,0.1,42,Female,0,60740.55,32169.38,28571.17
2023-12-11,West,Laptop,Wholesale,52,1328.11,0.04,66,Other,0,66299.25,28625.04,37674.21
2023-04-01,South,Monitor,Online,9,1367.8,0.09,61,Other,0,11202.28,5223.25,5979.03
2023-02-15,North,Phone,Retail,64,1439.0,0.11,36,Female,0,81965.44,52150.1,29815.34
2023-10-11,East,Phone,Online,30,1164.43,0.29,60,Male,0,24802.36,13603.2,11199.16
2022-11-14,West,Keyboard,Wholesale,8,1360.86,0.21,67,Other,0,8600.64,4402.55,4198.09
2023-11-08,South,Tablet,Online,5,367.11,0.16,30,Male,1,1541.86,702.52,839.34
2022-08-13,Central,Headphones,Online,76,312.42,0.29,63,Male,0,16858.18,11124.44,5733.74
2022-08-22,West,Tablet,Wholesale,63,29.6,0.27,29,Female,0,1361.3,913.58,447.72
2023-11-15,South,Keyboard,Wholesale,1,1066.13,0.15,32,Female,0,906.21,503.49,402.72
2023-10-26,North,Tablet,Online,15,1407.45,0.27,40,Male,0,15411.58,10424.12,4987.46
2023-01-09,North,Laptop,Online,89,296.66,0.12,57,Female,0,23234.41,12533.49,10700.92
2023-11-03,West,Laptop,Online,82,962.68,0.07,19,Male,0,73413.98,31727.52,41686.46
2023-08-31,West,Monitor,Direct,38,1124.76,0.07,57,Male,0,39749.02,16102.8,23646.22
2023-04-17,East,Monitor,Online,42,1392.87,0.2,40,Female,0,46800.43,20522.61,26277.82
2022-08-21,South,Keyboard,Direct,46,977.35,0.15,22,Female,0,38214.38,22424.08,15790.3
2023-11-23,West,Keyboard,Retail,53,1456.03,0.2,51,Other,0,61735.67,30637.66,31098.01
2022-04-23,East,Webcam,Direct,26,530.12,0.21,27,Female,0,10888.66,6473.23,4415.43
2023-05-12,East,Keyboard,Online,61,537.89,0.01,44,Other,0,32483.18,17943.48,14539.7
2023-03-18,West,Laptop,Retail,67,823.66,0.02,59,Female,0,54081.52,27035.56,27045.96
2023-07-18,North,Tablet,Direct,54,587.58,0.16,21,Female,0,26652.63,12409.57,14243.06
2022-09-25,South,Headphones,Direct,22,22.11,0.06,21,Female,0,457.23,194.01,263.22
2023-05-25,South,Webcam,Wholesale,26,1103.02,0.19,25,Female,0,23229.6,14744.23,8485.37
2023-01-21,North,Webcam,Retail,83,1132.54,0.17,23,Male,0,78020.68,50378.05,27642.63
2023-01-22,West,Webcam,Wholesale,60,1125.52,0.18,42,Female,0,55375.58,31145.18,24230.4
2022-04-23,South,Keyboard,Retail,39,530.63,0.09,44,Male,0,18832.06,8420.35,10411.71
2023-09-05,West,Keyboard,Direct,36,792.99,0.19,64,Female,0,23123.59,11077.56,12046.03
2023-09-17,West,Laptop,Wholesale,21,552.76,0.25,67,Female,0,8705.97,5977.03,2728.94
2022-03-22,East,Headphones,Online,41,43.73,0.3,57,Male,0,1255.05,587.09,667.96
2023-11-30,North,Laptop,Direct,48,852.42,0.25,37,Female,0,30687.12,12797.8,17889.32
2022-04-23,West,Headphones,Retail,26,203.17,0.17,44,Other,0,4384.41,2477.26,1907.15
2022-01-02,Central,Laptop,Retail,63,138.46,0.06,24,Other,0,8199.6,3924.12,4275.48
2023-10-04,North,Tablet,Wholesale,77,1138.14,0.2,40,Female,0,70109.42,48181.33,21928.09
2022-08-08,South,Keyboard,Wholesale,36,34.07,0.28,37,Other,0,883.09,505.51,377.58
2023-07-20,East,Phone,Retail,24,1439.33,0.06,66,Other,0,32471.28,22396.88,10074.4
2022-08-13,South,Phone,Direct,90,782.58,0.08,68,Other,1,64797.62,41190.1,23607.52
2023-01-20,South,Keyboard,Wholesale,21,1474.86,0.04,51,Other,0,29733.18,18343.16,11390.02
2023-02-07,North,Webcam,Online,18,105.84,0.22,46,Male,0,1485.99,964.57,521.42
2023-09-30,South,Keyboard,Retail,15,883.62,0.12,61,Male,0,11663.78,6782.09,4881.69
2022-05-10,West,Keyboard,Online,79,537.0,0.02,68,Male,0,41574.54,16768.52,24806.02
2022-02-22,South,Keyboard,Retail,6,1268.35,0.26,22,Other,0,5631.47,2915.63,2715.84
2023-11-15,East,Webcam,Online,43,554.61,0.17,44,Other,0,19794.03,9218.19,10575.84
2023-12-31,East,Headphones,Direct,31,405.52,0.1,29,Male,0,11314.01,5999.75,5314.26
2023-11-03,Central,Tablet,Retail,28,1289.18,0.1,34,Other,0,32487.34,17581.01,14906.33
2023-12-11,East,Phone,Direct,8,574.49,0.09,54,Male,0,4182.29,1833.3,2348.99
2023-02-20,South,Monitor,Wholesale,29,44.91,0.14,51,Male,0,1120.06,455.9,664.16
2022-09-04,East,Phone,Retail,21,597.63,0.1,47,Male,0,11295.21,4986.38,6308.83
2023-03-15,North,Phone,Direct,81,988.69,0.16,53,Other,0,67270.47,44212.05,23058.42
2022-07-22,East,Webcam,Online,88,396.45,0.23,23,Male,0,26863.45,16836.84,10026.61
2022-07-03,West,Laptop,Direct,58,659.34,0.2,49,Female,0,30593.38,19569.6,11023.78
2022-05-03,North,Keyboard,Retail,60,103.94,0.09,49,Male,0,5675.12,2740.47,2934.65
2023-02-05,Central,Keyboard,Direct,50,890.38,0.16,26,Male,0,37395.96,17607.13,19788.83
2022-10-21,West,Keyboard,Online,31,1139.32,0.25,39,Female,0,26489.19,10892.67,15596.52
2022-10-07,South,Laptop,Online,47,631.7,0.02,27,Other,0,29096.1,15760.79,13335.31
2023-09-02,South,Webcam,Online,34,641.94,0.02,46,Male,0,21389.44,11009.63,10379.81
2022-07-17,South,Tablet,Wholesale,2,150.66,0.17,28,Female,0,250.1,162.76,87.34
2023-05-26,West,Tablet,Retail,67,318.87,0.19,45,Other,0,17305.07,10461.96,6843.11
2022-05-24,West,Webcam,Online,94,248.92,0.06,19,Female,0,21994.57,9749.88,12244.69
2023-09-01,West,Monitor,Wholesale,72,732.9,0.22,38,Male,0,41159.66,28653.15,12506.51
2022-07-20,North,Tablet,Online,52,803.3,0.19,48,Female,0,33835.0,21356.39,12478.61
2022-05-04,North,Webcam,Direct,7,1424.43,0.28,58,Other,0,7179.13,4422.86,2756.27
2022-07-06,South,Tablet,Retail,76,128.38,0.05,69,Male,0,9269.04,4309.96,4959.08
2022-11-22,East,Keyboard,Direct,19,907.8,0.23,34,Female,0,13281.11,8918.89,4362.22
2023-04-09,South,Headphones,Wholesale,90,799.22,0.03,44,Other,0,69771.91,37828.67,31943.24
2022-12-15,Central,Webcam,Direct,92,784.02,0.17,47,Other,0,59867.77,29293.11,30574.66
2023-10-22,North,Phone,Direct,15,1312.28,0.17,58,Male,0,16337.89,9744.74,6593.15
2023-02-07,West,Tablet,Online,78,324.2,0.12,25,Male,0,22253.09,10314.88,11938.21
2022-12-12,North,Tablet,Direct,48,80.34,0.25,54,Male,0,2892.24,1944.37,947.87
2023-05-26,West,Laptop,Online,14,1014.96,0.0,22,Male,0,14209.44,9325.7,4883.74
2022-05-27,Central,Monitor,Online,3,530.83,0.16,43,Female,0,1337.69,721.65,616.04
2022-05-28,Central,Headphones,Retail,50,46.03,0.07,23,Other,0,2140.4,978.58,1161.82
2023-12-12,North,Laptop,Wholesale,93,392.03,0.22,33,Male,0,28437.86,15611.0,12826.86
2023-05-04,West,Keyboard,Wholesale,54,477.8,0.01,18,Male,0,25543.19,11360.12,14183.07
2023-10-02,Central,Phone,Wholesale,6,932.92,0.25,26,Male,0,4198.14,2019.12,2179.02
2023-07-05,South,Monitor,Online,49,275.43,0.25,38,Female,0,10122.05,5514.69,4607.36
2022-12-04,South,Laptop,Wholesale,23,631.32,0.25,24,Other,0,10890.27,4425.17,6465.1
2023-10-03,West,Webcam,Online,92,734.06,0.05,60,Other,0,64156.84,40400.64,23756.2
2023-04-18,North,Tablet,Retail,78,699.67,0.19,32,Male,1,44205.15,20293.46,23911.69
2022-05-31,Central,Tablet,Wholesale,78,1461.43,0.0,41,Other,0,113991.54,75232.52,38759.02
2023-02-19,North,Monitor,Online,20,87.35,0.25,22,Female,0,1310.25,532.85,777.4
2022-10-25,South,Tablet,Wholesale,77,1427.43,0.22,68,Other,0,85731.45,47978.71,37752.74
2023-09-03,Central,Webcam,Wholesale,91,881.27,0.16,55,Male,0,67364.28,42641.27,24723.01
2022-09-20,North,Laptop,Retail,60,1197.68,0.22,46,Other,1,56051.42,26421.77,29629.65
2022-05-24,East,Laptop,Direct,99,656.98,0.03,63,Female,0,63089.79,38627.73,24462.06
2022-12-12,West,Tablet,Wholesale,45,691.68,0.16,69,Female,0,26145.5,16112.43,10033.07
2023-09-16,West,Tablet,Retail,61,1321.4,0.09,63,Other,0,73350.91,43376.29,29974.62
2023-07-26,East,Keyboard,Wholesale,56,1345.98,0.29,28,Other,0,53516.16,27254.49,26261.67
2022-01-02,South,Phone,Wholesale,2,373.26,0.26,21,Male,1,552.42,351.07,201.35
2022-10-31,Central,Monitor,Wholesale,45,314.88,0.22,27,Male,0,11052.29,6504.61,4547.68
2022-09-11,West,Laptop,Wholesale,40,754.43,0.28,51,Male,0,21727.58,12539.34,9188.24
2023-10-14,East,Monitor,Direct,24,1352.41,0.1,21,Other,0,29212.06,18863.64,10348.42
2023-03-29,East,Keyboard,Direct,29,497.09,0.27,69,Female,0,10523.4,4981.69,5541.71
2022-02-06,South,Laptop,Wholesale,67,984.98,0.1,27,Female,0,59394.29,27900.25,31494.04
