date,campaign_type,customer_segment,impressions,clicks,conversions,spend,revenue_generated,region,ctr,conversion_rate,roi
2022-05-12,Email,Young Adults,18335,4264,466,6286.6,35943.91,West,0.2326,0.1093,4.7175
2023-08-21,TV,Professionals,48612,1824,370,1434.46,5588.82,East,0.0375,0.2029,2.8961
2023-09-14,Social Media,Young Adults,18281,1685,469,9934.09,31090.87,West,0.0922,0.2783,2.1297
2022-11-24,Influencer,Young Adults,39442,13,366,2943.65,27949.16,East,0.0003,28.1538,8.4947
2022-04-21,Email,Young Adults,47996,1620,246,3888.87,7670.13,North,0.0338,0.1519,0.9723
2023-12-21,Social Media,Seniors,29971,2803,267,2320.22,31312.3,North,0.0935,0.0953,12.4954
2022-10-16,Email,Students,33958,2430,414,6470.61,34627.94,North,0.0716,0.1704,4.3516
2023-02-21,SEO,Seniors,48681,4387,448,698.84,25025.42,Central,0.0901,0.1021,34.8099
2022-03-15,TV,Students,8398,2800,383,9285.31,29013.12,East,0.3334,0.1368,2.1246
2022-04-18,Social Media,Professionals,32747,2340,339,3109.46,44393.49,North,0.0715,0.1449,13.2769
2023-05-31,Social Media,Professionals,36847,1510,176,9281.02,34945.61,Central,0.041,0.1166,2.7653
2023-12-28,Google Ads,Students,44287,4340,296,2610.04,45316.54,West,0.098,0.0682,16.3624
2023-11-22,Email,Students,12216,1735,114,5186.5,27706.73,Central,0.142,0.0657,4.3421
2023-10-29,Email,Parents,33467,3938,94,6982.2,8907.68,Central,0.1177,0.0239,0.2758
2022-04-15,Influencer,Students,9467,4443,250,6165.01,12465.28,South,0.4693,0.0563,1.0219
2023-01-17,Google Ads,Students,49877,465,355,5173.68,8985.25,West,0.0093,0.7634,0.7367
2023-08-19,Google Ads,Professionals,18949,3979,68,7906.47,16895.38,South,0.21,0.0171,1.1369
2022-03-18,Influencer,Professionals,9320,1928,149,4757.89,23981.3,East,0.2069,0.0773,4.0403
2022-07-22,Google Ads,Young Adults,43517,1392,5,3398.43,12945.39,Central,0.032,0.0036,2.8092
2023-05-16,Google Ads,Young Adults,540,4515,246,7214.07,23886.61,Central,8.3611,0.0545,2.3111
2022-08-29,TV,Professionals,45764,1998,164,9378.99,18345.03,Central,0.0437,0.0821,0.956
2023-12-08,SEO,Young Adults,25534,567,250,6053.72,27856.29,Central,0.0222,0.4409,3.6015
2023-01-07,Social Media,Seniors,1378,4567,475,2869.12,21539.99,South,3.3142,0.104,6.5075
2022-07-24,Influencer,Seniors,30883,4296,135,7651.81,21817.82,East,0.1391,0.0314,1.8513
2023-02-16,TV,Young Adults,10502,4000,381,7643.06,24632.93,South,0.3809,0.0952,2.2229
2022-08-02,SEO,Young Adults,48987,1178,444,2741.95,49396.19,Central,0.024,0.3769,17.015
2023-03-17,TV,Students,1950,1377,184,3907.84,27916.11,East,0.7062,0.1336,6.1436
2023-06-15,TV,Students,20473,3697,287,1495.35,36222.22,West,0.1806,0.0776,23.2232
2023-11-02,Google Ads,Seniors,41789,1609,212,888.71,20953.93,South,0.0385,0.1318,22.5779
2022-07-31,SEO,Seniors,44514,166,25,8092.89,16427.28,North,0.0037,0.1506,1.0298
2022-02-22,SEO,Students,11227,3389,358,3788.5,45845.54,West,0.3019,0.1056,11.1012
2023-05-26,Influencer,Students,39893,4999,184,2884.99,37169.54,West,0.1253,0.0368,11.8838
2022-03-29,Google Ads,Students,40967,4967,217,2635.3,29205.0,Central,0.1212,0.0437,10.0822
2023-11-03,Google Ads,Young Adults,42479,1057,337,840.58,16954.28,Central,0.0249,0.3188,19.1697
2022-01-09,TV,Professionals,12200,940,494,9850.14,13041.44,West,0.077,0.5255,0.324
2023-11-22,Email,Seniors,13810,1134,485,3733.75,12753.17,South,0.0821,0.4277,2.4156
2022-03-24,Influencer,Parents,8470,1291,335,1726.07,25285.8,East,0.1524,0.2595,13.6493
2023-10-25,Influencer,Students,5781,4766,375,8654.99,43766.06,South,0.8244,0.0787,4.0567
2022-01-25,TV,Young Adults,45989,1138,458,7258.89,44076.18,South,0.0247,0.4025,5.072
2022-08-13,TV,Seniors,2327,3662,162,6659.95,37300.27,West,1.5737,0.0442,4.6007
2023-05-12,Social Media,Students,4611,2092,172,3042.43,27216.06,South,0.4537,0.0822,7.9455
2023-03-06,TV,Young Adults,48586,4444,363,4213.04,11898.5,East,0.0915,0.0817,1.8242
2023-03-04,Google Ads,Seniors,42079,4825,7,8426.76,24046.85,West,0.1147,0.0015,1.8536
2022-07-13,TV,Seniors,1188,1186,103,6434.98,34797.18,South,0.9983,0.0868,4.4075
2022-04-28,Influencer,Parents,10804,515,307,3521.96,29831.83,Central,0.0477,0.5961,7.4702
2022-03-19,Email,Parents,13362,234,153,1181.87,25798.9,South,0.0175,0.6538,20.8289
2022-06-01,Email,Seniors,6716,3848,487,9012.68,21524.94,West,0.573,0.1266,1.3883
2022-02-25,Google Ads,Young Adults,19135,4062,238,9559.82,37675.21,West,0.2123,0.0586,2.941
2022-12-23,Email,Students,12335,189,492,7216.07,42143.31,Central,0.0153,2.6032,4.8402
2022-09-16,TV,Students,35928,4524,412,6944.78,36200.98,West,0.1259,0.0911,4.2127
2023-06-19,Email,Seniors,10934,1338,170,5423.33,46908.79,North,0.1224,0.1271,7.6494
2023-11-05,TV,Students,43758,4761,411,9717.95,39037.7,West,0.1088,0.0863,3.0171
2023-08-17,SEO,Parents,31769,751,421,6972.09,22640.12,South,0.0236,0.5606,2.2473
2023-07-25,Social Media,Students,32528,4419,311,859.67,30914.32,East,0.1359,0.0704,34.9607
2023-08-01,Influencer,Professionals,6162,3899,487,1008.12,25317.49,South,0.6327,0.1249,24.1136
2023-02-10,SEO,Parents,28630,317,294,9639.37,27406.9,West,0.0111,0.9274,1.8432
2022-04-25,Google Ads,Parents,34222,1276,56,9438.47,44805.85,North,0.0373,0.0439,3.7472
2023-04-19,Social Media,Seniors,39721,1278,92,5622.57,15182.75,South,0.0322,0.072,1.7003
2022-11-30,Email,Seniors,20825,3690,162,2219.99,852.12,East,0.1772,0.0439,-0.6162
2023-09-13,Google Ads,Students,30376,3038,157,5876.71,34843.21,South,0.1,0.0517,4.929
2022-11-05,TV,Students,47373,4057,493,7659.08,9214.48,Central,0.0856,0.1215,0.2031
2022-11-27,Social Media,Seniors,21632,1063,176,182.0,7880.77,North,0.0491,0.1656,42.3009
2023-06-28,Influencer,Young Adults,7912,1653,72,8245.84,49625.32,West,0.2089,0.0436,5.0182
2023-12-26,Influencer,Students,45830,2038,77,4701.49,13485.41,South,0.0445,0.0378,1.8683
2023-05-19,Social Media,Young Adults,18131,2783,46,4685.32,10347.63,South,0.1535,0.0165,1.2085
2022-03-29,Social Media,Parents,46094,2035,293,4399.64,9710.97,South,0.0441,0.144,1.2072
2023-07-28,Social Media,Professionals,9965,2040,247,6949.28,20735.21,South,0.2047,0.1211,1.9838
2022-01-03,Email,Young Adults,7386,3018,3,2173.67,20589.01,East,0.4086,0.001,8.472
2023-01-18,SEO,Students,33280,2673,334,6105.94,31698.48,Central,0.0803,0.125,4.1914
2023-09-16,SEO,Seniors,5205,2018,224,536.56,5361.21,Central,0.3877,0.111,8.9918
2023-06-08,SEO,Seniors,33965,4603,471,8132.36,31845.16,North,0.1355,0.1023,2.9159
2023-07-19,Influencer,Professionals,2566,1672,249,8172.89,22790.92,North,0.6516,0.1489,1.7886
2022-05-28,Influencer,Professionals,43846,3424,215,3187.61,10541.17,East,0.0781,0.0628,2.3069
2023-05-21,Email,Parents,40182,42,77,1143.65,38955.41,Central,0.001,1.8333,33.0624
2023-10-08,Google Ads,Young Adults,37942,2291,497,7502.71,23808.33,North,0.0604,0.2169,2.1733
2022-03-25,Influencer,Professionals,35341,539,489,4755.12,35909.65,West,0.0153,0.9072,6.5518
2023-02-02,Google Ads,Parents,20096,4992,231,9257.17,46044.36,Central,0.2484,0.0463,3.9739
2022-07-03,Google Ads,Parents,30945,4924,50,3599.5,17799.56,South,0.1591,0.0102,3.945
2022-06-18,Google Ads,Parents,37081,4533,149,8430.94,44915.64,Central,0.1222,0.0329,4.3275
2023-07-15,Influencer,Students,34318,1299,107,350.7,10177.01,West,0.0379,0.0824,28.0191
2022-04-18,TV,Professionals,35420,1328,432,7750.66,11262.1,South,0.0375,0.3253,0.4531
2022-07-12,Google Ads,Seniors,29003,1473,186,6814.67,33252.14,Central,0.0508,0.1263,3.8795
2022-08-02,SEO,Parents,40957,1594,287,5310.05,5311.06,South,0.0389,0.1801,0.0002
2022-12-26,TV,Seniors,44291,579,498,9113.22,22848.04,South,0.0131,0.8601,1.5071
2022-04-05,Email,Students,48906,160,7,9425.91,10848.85,East,0.0033,0.0438,0.151
2023-06-27,SEO,Young Adults,27426,4983,313,9303.88,28628.65,West,0.1817,0.0628,2.0771
2022-06-05,TV,Students,13823,354,292,6018.25,40379.76,East,0.0256,0.8249,5.7096
2023-06-08,TV,Students,11840,1669,467,5242.02,2312.74,Central,0.141,0.2798,-0.5588
2022-09-29,Social Media,Professionals,36357,943,342,2762.82,20782.84,South,0.0259,0.3627,6.5223
2022-06-12,Google Ads,Parents,27765,4726,280,1704.5,36587.5,Central,0.1702,0.0592,20.4652
2023-07-10,Influencer,Students,673,4255,24,5615.24,17244.26,Central,6.3224,0.0056,2.071
2022-06-29,Social Media,Parents,10116,4850,312,1570.12,2276.96,East,0.4794,0.0643,0.4502
2022-08-11,SEO,Seniors,40522,4372,213,1803.95,29650.74,Central,0.1079,0.0487,15.4366
2022-04-26,TV,Young Adults,20787,4252,189,3631.76,6184.19,West,0.2046,0.0444,0.7028
2022-01-05,Email,Young Adults,8010,1518,491,1948.8,18622.0,South,0.1895,0.3235,8.5556
2022-03-07,Influencer,Seniors,17332,3585,77,5067.11,49528.55,North,0.2068,0.0215,8.7745
2023-06-11,Email,Professionals,14889,2561,124,6671.12,20021.39,West,0.172,0.0484,2.0012
2023-03-25,TV,Seniors,6335,1021,454,7009.22,42174.28,North,0.1612,0.4447,5.017
2022-05-29,Email,Seniors,27562,4176,284,5374.5,43018.35,North,0.1515,0.068,7.0042
2022-04-11,Social Media,Professionals,17665,2318,160,5265.81,13288.99,East,0.1312,0.069,1.5236
2022-09-24,Email,Professionals,20452,4801,333,4800.63,29856.15,North,0.2347,0.0694,5.2192
2023-12-31,Social Media,Students,25247,870,482,2528.13,47383.44,South,0.0345,0.554,17.7425
2023-07-08,Google Ads,Parents,31769,1444,224,6577.0,30395.37,East,0.0455,0.1551,3.6215
2022-03-07,Influencer,Young Adults,12461,1449,246,6604.59,40700.07,West,0.1163,0.1698,5.1624
2022-12-16,Email,Professionals,22019,3426,78,2632.47,23235.63,West,0.1556,0.0228,7.8266
2022-04-30,Social Media,Professionals,5445,3963,96,7035.63,36022.5,West,0.7278,0.0242,4.12
2022-09-02,TV,Students,30691,4588,45,8594.25,1288.23,Central,0.1495,0.0098,-0.8501
2023-01-24,SEO,Students,30406,1471,69,5987.62,39416.18,East,0.0484,0.0469,5.5829
2022-10-14,TV,Parents,35127,171,99,1263.64,33658.1,East,0.0049,0.5789,25.6358
2022-02-17,Social Media,Professionals,4419,648,376,3339.88,18070.67,East,0.1466,0.5802,4.4106
2023-02-22,Influencer,Professionals,11366,1067,68,1018.6,20965.9,South,0.0939,0.0637,19.5831
2022-12-17,Google Ads,Students,39658,1463,78,3090.11,16465.37,East,0.0369,0.0533,4.3284
2022-06-04,Google Ads,Seniors,33816,4836,146,2198.25,26309.47,South,0.143,0.0302,10.9684
2022-12-04,Influencer,Parents,666,2794,75,5590.83,5612.05,West,4.1952,0.0268,0.0038
2022-09-18,SEO,Professionals,12452,3377,339,4293.09,42276.76,Central,0.2712,0.1004,8.8476
2023-06-13,Email,Young Adults,19284,4277,2,7254.57,24007.07,North,0.2218,0.0005,2.3092
2022-07-22,Social Media,Young Adults,31922,3245,482,3694.12,2346.49,Central,0.1017,0.1485,-0.3648
2023-03-16,Google Ads,Students,3670,4304,387,1631.73,27737.49,Central,1.1728,0.0899,15.9988
2022-06-15,Influencer,Young Adults,43107,2107,157,2436.65,46539.75,Central,0.0489,0.0745,18.0999
2023-01-14,Google Ads,Students,3121,1475,87,5503.25,4555.53,North,0.4726,0.059,-0.1722
2023-03-14,Google Ads,Seniors,36669,4435,250,4553.56,6334.99,South,0.1209,0.0564,0.3912
2022-02-17,Email,Students,39734,4399,48,521.83,19481.73,West,0.1107,0.0109,36.3335
2022-08-17,Google Ads,Professionals,15793,2337,254,2178.46,36834.09,North,0.148,0.1087,15.9083
2023-12-26,Social Media,Young Adults,30693,4469,65,3037.69,30310.17,West,0.1456,0.0145,8.978
2023-12-29,Influencer,Professionals,6672,4051,42,7281.06,23006.38,South,0.6072,0.0104,2.1598
2023-11-12,SEO,Young Adults,46294,2628,134,7331.23,49638.75,West,0.0568,0.051,5.7709
2022-01-22,SEO,Young Adults,1042,4259,315,7010.08,9452.51,South,4.0873,0.074,0.3484
2022-10-02,SEO,Students,10031,1764,81,8202.77,41123.49,North,0.1759,0.0459,4.0134
2022-04-23,Email,Parents,30746,707,19,8751.41,6367.08,North,0.023,0.0269,-0.2725
2023-12-16,SEO,Young Adults,45044,3967,364,803.97,9144.43,West,0.0881,0.0918,10.3741
2023-06-29,Email,Young Adults,42027,4377,180,4981.27,14913.12,West,0.1041,0.0411,1.9938
2022-03-30,SEO,Parents,11437,2500,317,1574.7,43680.17,Central,0.2186,0.1268,26.7387
2023-10-08,Influencer,Professionals,28750,522,496,3605.2,22321.45,Central,0.0182,0.9502,5.1915
2022-01-11,Social Media,Young Adults,25001,818,120,6665.65,19910.11,West,0.0327,0.1467,1.987
2022-01-27,SEO,Students,35028,1048,386,6056.42,24638.14,Central,0.0299,0.3683,3.0681
2023-04-01,Google Ads,Parents,10921,553,335,1372.74,31619.14,West,0.0506,0.6058,22.0336
2022-01-31,Google Ads,Parents,47733,3786,407,7595.11,21290.01,East,0.0793,0.1075,1.8031
2023-08-26,SEO,Young Adults,6273,2311,19,7891.47,48134.08,Central,0.3684,0.0082,5.0995
2023-03-23,Social Media,Professionals,14966,4851,353,1477.92,6940.03,West,0.3241,0.0728,3.6958
2023-03-04,TV,Professionals,17912,719,70,6195.02,23888.18,East,0.0401,0.0974,2.856
2023-11-12,Influencer,Seniors,6810,1323,434,9457.77,20888.57,Central,0.1943,0.328,1.2086
2023-07-13,Social Media,Seniors,37748,4411,189,1030.01,34696.8,North,0.1169,0.0428,32.6859
2023-08-14,Google Ads,Students,20587,4277,403,1729.61,48161.55,West,0.2078,0.0942,26.8453
2023-05-29,Influencer,Young Adults,14366,4433,94,7678.69,14562.96,North,0.3086,0.0212,0.8965
2023-02-03,SEO,Professionals,7759,4258,150,3435.56,47775.26,Central,0.5488,0.0352,12.9061
2023-06-16,Influencer,Seniors,19118,2765,387,9560.16,41419.44,East,0.1446,0.14,3.3325
2023-01-22,Google Ads,Young Adults,4036,4712,124,6281.19,40561.8,West,1.1675,0.0263,5.4577
2023-09-10,Social Media,Young Adults,49410,1782,133,4883.68,3839.18,East,0.0361,0.0746,-0.2139
2022-11-26,TV,Professionals,17441,1449,222,3442.87,47041.06,North,0.0831,0.1532,12.6633
2023-08-25,Influencer,Young Adults,47098,4416,67,2467.33,41978.61,West,0.0938,0.0152,16.0138
2022-05-18,SEO,Parents,14493,3325,444,6535.21,34292.24,North,0.2294,0.1335,4.2473
2023-11-11,Influencer,Seniors,29286,418,295,5961.09,6567.39,North,0.0143,0.7057,0.1017
2023-10-15,Influencer,Students,40698,4824,231,3643.34,21117.86,East,0.1185,0.0479,4.7963
2023-12-26,SEO,Seniors,32238,4732,156,9185.99,42043.37,Central,0.1468,0.033,3.5769
2023-04-27,SEO,Young Adults,42827,4343,385,7641.86,21989.06,North,0.1014,0.0886,1.8774
2022-10-27,SEO,Parents,17741,2463,150,2674.67,21935.47,North,0.1388,0.0609,7.2012
2022-02-01,Social Media,Seniors,2310,1592,109,9439.32,13652.27,South,0.6892,0.0685,0.4463
2023-04-02,Influencer,Professionals,19240,1231,429,7579.84,2749.17,East,0.064,0.3485,-0.6373
2023-06-26,SEO,Parents,47437,572,495,8981.36,25747.59,North,0.0121,0.8654,1.8668
2023-01-20,Google Ads,Seniors,14851,3787,307,1448.58,38768.58,South,0.255,0.0811,25.7632
2022-11-28,Google Ads,Young Adults,12849,4192,103,426.67,7474.35,East,0.3263,0.0246,16.5179
2022-02-13,SEO,Professionals,29877,1765,81,4979.89,44710.12,West,0.0591,0.0459,7.9781
2023-07-01,Email,Young Adults,32564,2847,106,4536.71,27853.14,Central,0.0874,0.0372,5.1395
2023-02-28,Influencer,Young Adults,28515,754,307,8711.06,40652.48,East,0.0264,0.4072,3.6668
2022-02-14,TV,Professionals,24214,379,28,1804.24,33418.59,North,0.0157,0.0739,17.5223
2023-01-15,Email,Parents,23819,2101,250,333.46,6920.29,South,0.0882,0.119,19.753
2023-05-12,Influencer,Seniors,49892,1330,498,5339.55,45348.29,South,0.0267,0.3744,7.4929
2022-05-18,Influencer,Parents,14136,475,286,1857.9,35963.86,West,0.0336,0.6021,18.3573
2023-07-13,SEO,Professionals,16234,3503,488,590.14,1971.83,South,0.2158,0.1393,2.3413
2023-02-12,Social Media,Seniors,21904,482,8,319.84,29086.2,North,0.022,0.0166,89.9398
2022-07-04,Social Media,Professionals,8412,1306,475,1510.09,24110.29,East,0.1553,0.3637,14.9661
2023-05-04,Google Ads,Students,26028,4278,254,3820.98,42985.87,West,0.1644,0.0594,10.25
2022-01-18,Email,Students,47228,245,41,8851.29,6314.69,Central,0.0052,0.1673,-0.2866
2023-11-28,Email,Parents,30659,3473,493,7629.69,29624.03,Central,0.1133,0.142,2.8827
2022-03-13,SEO,Professionals,3074,1688,153,5348.67,15651.95,North,0.5491,0.0906,1.9263
2023-09-27,Email,Seniors,31037,4338,59,4360.41,12431.82,West,0.1398,0.0136,1.8511
2022-06-20,SEO,Parents,40215,275,205,4612.41,1322.26,West,0.0068,0.7455,-0.7133
2022-03-18,Google Ads,Students,40169,2414,290,8857.98,16744.97,North,0.0601,0.1201,0.8904
2023-02-04,TV,Students,834,148,167,7273.85,19925.57,West,0.1775,1.1284,1.7393
2023-06-05,TV,Students,13686,4652,327,1802.92,22499.78,South,0.3399,0.0703,11.4796
2022-07-20,SEO,Parents,47132,1375,372,9403.35,36789.14,South,0.0292,0.2705,2.9123
2023-08-04,TV,Seniors,23320,1962,214,7751.86,20296.41,North,0.0841,0.1091,1.6183
2022-08-27,SEO,Students,45998,82,225,438.15,9922.95,North,0.0018,2.7439,21.6474
2022-11-13,Email,Parents,2230,172,430,5072.34,20027.68,South,0.0771,2.5,2.9484
2023-06-07,Influencer,Parents,38523,232,294,6562.54,3664.34,East,0.006,1.2672,-0.4416
2022-11-16,Email,Young Adults,31819,194,479,703.79,48609.3,North,0.0061,2.4691,68.0679
2023-07-04,SEO,Young Adults,37121,104,109,3595.3,3498.42,South,0.0028,1.0481,-0.0269
2023-06-06,Influencer,Seniors,18608,3882,417,6518.19,10254.16,East,0.2086,0.1074,0.5732
2023-06-12,Social Media,Students,34070,693,373,8179.27,21515.98,East,0.0203,0.5382,1.6306
2023-04-22,SEO,Young Adults,1411,3390,244,9773.67,46683.61,South,2.4026,0.072,3.7765
2022-11-21,SEO,Seniors,29242,985,278,1304.14,9101.11,South,0.0337,0.2822,5.9786
2023-04-11,Google Ads,Young Adults,30940,3229,411,6360.78,20108.97,West,0.1044,0.1273,2.1614
2022-02-11,TV,Students,32251,3703,191,8938.62,49467.99,East,0.1148,0.0516,4.5342
2022-08-22,Email,Parents,30127,2554,155,7197.49,30181.97,Central,0.0848,0.0607,3.1934
2023-07-10,Email,Students,48383,3242,21,6360.76,30806.25,West,0.067,0.0065,3.8432
2023-03-13,Social Media,Young Adults,28580,70,437,2222.78,48711.64,West,0.0024,6.2429,20.9147
2023-11-07,Influencer,Students,40289,1470,163,8171.44,25403.69,East,0.0365,0.1109,2.1088
2023-10-24,TV,Parents,9027,491,250,5668.66,327.53,East,0.0544,0.5092,-0.9422
2022-10-07,Google Ads,Professionals,31846,4220,47,1203.02,1742.79,East,0.1325,0.0111,0.4487
2022-07-23,Influencer,Parents,14647,4088,50,9362.46,34133.63,North,0.2791,0.0122,2.6458
2022-11-02,Influencer,Young Adults,13206,4659,375,9885.07,10733.26,South,0.3528,0.0805,0.0858
2023-05-25,SEO,Parents,45340,3661,138,5422.96,24028.34,South,0.0807,0.0377,3.4309
2022-10-23,TV,Seniors,37600,1184,111,7787.14,27658.34,South,0.0315,0.0938,2.5518
2022-01-22,Google Ads,Students,47408,2605,284,5874.8,33434.04,East,0.0549,0.109,4.6911
2023-11-18,TV,Professionals,36927,4245,232,4279.84,4370.58,West,0.115,0.0547,0.0212
2022-08-30,TV,Professionals,13293,3816,293,4150.17,38050.18,East,0.2871,0.0768,8.1683
2023-08-01,Email,Students,13768,499,169,9646.71,46024.37,East,0.0362,0.3387,3.771
2023-01-29,Google Ads,Students,33666,1940,481,3750.99,12936.13,West,0.0576,0.2479,2.4487
2023-03-03,Influencer,Seniors,44118,906,189,4955.5,19146.21,Central,0.0205,0.2086,2.8636
2023-03-29,TV,Parents,12086,4310,51,2560.06,37242.14,North,0.3566,0.0118,13.5474
2023-05-22,Social Media,Professionals,15790,2352,8,2607.49,12572.35,Central,0.149,0.0034,3.8216
2023-08-29,Google Ads,Young Adults,20981,2918,229,3626.65,27203.78,East,0.1391,0.0785,6.5011
2022-08-01,Social Media,Students,16493,2728,370,9255.3,33065.35,South,0.1654,0.1356,2.5726
2022-08-29,Influencer,Students,24953,3265,442,4025.73,43987.84,South,0.1308,0.1354,9.9267
2023-02-13,Google Ads,Professionals,33283,27,233,5567.67,17399.21,West,0.0008,8.6296,2.125
2023-09-14,Email,Students,37642,3916,445,5502.96,24733.88,East,0.104,0.1136,3.4947
2023-07-13,Google Ads,Professionals,39781,4726,417,5873.2,9393.05,West,0.1188,0.0882,0.5993
2023-10-30,Influencer,Young Adults,33169,4748,19,8218.43,15519.0,West,0.1431,0.004,0.8883
2023-08-15,Email,Young Adults,13750,4086,30,9021.89,4927.83,North,0.2972,0.0073,-0.4538
2022-02-14,Influencer,Professionals,5674,551,462,2166.59,10042.36,West,0.0971,0.8385,3.6351
2023-12-08,SEO,Students,31427,207,142,8618.43,17441.32,East,0.0066,0.686,1.0237
2022-08-25,Google Ads,Seniors,47735,1275,292,5522.3,21328.74,North,0.0267,0.229,2.8623
2023-12-24,Influencer,Seniors,10071,4893,391,9252.25,35402.5,South,0.4859,0.0799,2.8264
2023-08-18,Google Ads,Parents,12005,986,116,9169.95,23030.76,North,0.0821,0.1176,1.5115
2022-04-23,Email,Seniors,34575,618,107,3955.39,2642.65,East,0.0179,0.1731,-0.3319
2023-05-22,Google Ads,Students,10350,474,34,6553.58,37836.12,Central,0.0458,0.0717,4.7734
2023-10-05,Influencer,Seniors,5032,1037,178,8726.97,26733.28,North,0.2061,0.1716,2.0633
2023-03-26,Influencer,Parents,7606,1271,32,3908.62,46982.54,Central,0.1671,0.0252,11.0202
2023-07-22,SEO,Young Adults,39181,2609,298,533.87,31834.96,North,0.0666,0.1142,58.6305
2023-06-22,SEO,Professionals,38042,2966,161,3662.1,26789.8,North,0.078,0.0543,6.3154
2022-07-28,Influencer,Seniors,46080,2039,375,3717.5,14862.56,West,0.0442,0.1839,2.998
2022-10-17,Social Media,Professionals,39482,3410,270,8086.78,11975.73,Central,0.0864,0.0792,0.4809
2023-05-13,Social Media,Professionals,33321,1827,473,3165.27,11655.68,Central,0.0548,0.2589,2.6824
2022-07-02,Social Media,Young Adults,22379,250,412,8950.44,20474.72,North,0.0112,1.648,1.2876
2023-12-20,TV,Parents,36910,2866,490,5531.55,8734.3,East,0.0776,0.171,0.579
2023-12-17,SEO,Students,16963,3891,114,5902.93,42241.65,East,0.2294,0.0293,6.156
2023-02-04,Google Ads,Students,32303,1771,423,8089.37,40298.83,Central,0.0548,0.2388,3.9817
2022-07-27,Social Media,Students,28194,1192,94,1432.29,36496.61,West,0.0423,0.0789,24.4813
2023-02-27,Influencer,Parents,22848,2100,31,277.62,2627.79,West,0.0919,0.0148,8.4654
2023-01-25,Influencer,Parents,22493,1950,152,660.49,3780.91,East,0.0867,0.0779,4.7244
2023-01-01,Social Media,Parents,15549,2932,243,403.57,31893.98,West,0.1886,0.0829,78.0296
2023-08-07,SEO,Seniors,33016,422,388,7028.96,37498.62,North,0.0128,0.9194,4.3349
2023-03-12,Social Media,Professionals,49937,3233,462,2525.21,1530.45,North,0.0647,0.1429,-0.3939
2022-11-08,Influencer,Parents,10268,1113,265,8588.48,14666.91,Central,0.1084,0.2381,0.7077
2022-12-05,Social Media,Parents,26019,3218,356,8840.46,6986.9,South,0.1237,0.1106,-0.2097
